path	state	head_object_sha1	working_sha256	decision	reason
.dockerignore	  	159b8453d7ad8c4717ec9810fdcbedb86f61c4ee	fa6e1be4fe865b9bca99bf314cef3d008e42ae80eadbaea472aab6e296d627d0	drop	legacy product, graphical client, release surface, plan, or documentation
.gitattributes	  	ef3e0afe5cd4d1123915030c3c07c7286920e31b	1e197cd1625e9b43d2adc1015305d888647b71c08427ae278488bb07d3ea837a	redesign	workspace identity and build baseline
.github/workflows/ci.yml	  	0ecce5cf3773d43070da116a8245f82a4400f5c9	3b793d4a1023989088332c20f3b86e870462ca5035aa9bdaf871c66816910cd5	drop	legacy product, graphical client, release surface, plan, or documentation
.github/workflows/compatibility.yml	  	44d7741f344293ac6e8b5f5918172911c7f75d05	05f9cd9d63e499dc4a41f58e356ce54a12efaa53aeab2948fd999339261b5119	drop	legacy product, graphical client, release surface, plan, or documentation
.github/workflows/fuzz.yml	  	7720006627e710da43bfcbe18ea7fe69a2f19870	b41332e6ed0b87f204f9bc9041f8641ff6858b2d828d9308d1ac1eb7382ed582	drop	legacy product, graphical client, release surface, plan, or documentation
.github/workflows/linux-preview.yml	  	628cd6b3301fdc3cb2fa84d96394b755c0322971	402c9e70385f4f6dbf2b5d637a9491749fff0360eb3a142394827ab2bc024837	drop	legacy product, graphical client, release surface, plan, or documentation
.github/workflows/release.yml	  	ebcb37dcfaaf20f58d15e5ba23a273dc662c3ced	ddd062abc88d5b8669c853a6d9f79d382007b946e0ce133428d3c35b273fd509	drop	legacy product, graphical client, release surface, plan, or documentation
.gitignore	  	5a16c3febcda7d4b4282d49de5044476e3a8669d	ef1434d46100e3ddd8ed8586f0e7a9cada9fea6ba448e630c8feb1a3a8162bc1	redesign	workspace identity and build baseline
apps/desktop/assets/app-icon.png	  	a8dd0885e6e48bd2b302896ccb308339b917ead5	2b7ac522b0a152bacecb7e2dd177a5d419b84a56a0f1a384dba3eeeb48bc832c	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/index.html	  	a83a9001673bbe03089f6cd2390dad079a9c8f32	9dcf8b3f287af7f5a1e0bf1a47d187fbfccdd2b7688d27bbb7af3f9d5d188beb	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/package.json	  	2c6ecea7dc57e087f6de8bd8c5e193a5739ec380	1bdce42fb301cf34381cc6f7ed07b5cc94afce6ece2b6385e23480951109c281	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/package-lock.json	  	e700393a98ed1f870540b4c284b8d2592a580bab	bcfad75994c35c04419c9fed373fa04d20079b09e2cdc1fabb8c7894eea0a85f	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/api.ts	  	7bfb8ad2e8b256174ffb2b534770617e25a90b4a	e779774ac888567902fa15f09fff435b41e092d9fcb91291e4fd8cc5909824dd	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/App.test.tsx	 M	3ac4d1f453985810c630b29a70dbd03ec4ea0ec3	24ed36f165eb05c168549d77e2e23cb15a8d7bbf44ebad750c4826253e234b1e	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/App.tsx	  	25b323a9e957b0270bbb6c14282bf9522a2f32d4	8cfcd046ede3098afbfaf6229445ed395aee74c77df50aeb325d1025cbc5d8f3	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/components/Modal.tsx	  	e431e465898d061b4fe8544cc6792c94f14d9a7f	bb55927f72663e7ad00d08ac10b54efa0b1ea4d9dd32eda45be6a6471898ddb9	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/components/PrivacyDialog.tsx	  	73bde0357f7ddcf1044dd45dc56e5f054edc8423	0ed0b669d4c12eeda1a8b9a2370f72858f2ca39b8bc436d80f1f5571b3bfe929	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/features/integrations/api.ts	  	4428a164d8e4fe1dada60c6812791e93fb12da7d	b90ac41f13663e7f7c1131dd177293a71819161a9573b0385c08059a5beaa55b	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/features/integrations/components/IntegrationsDialog.tsx	 M	47df079342c75b5f8c3935152831942c9ef20a07	5d3d90e4e26c265bef4284d2a7249a6621a2865cf595704e371a4403ea3400ff	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/features/integrations/hooks/useIntegrations.ts	  	e662a5a36bb05b52e27eb4a63c9a8ba15de3c457	bc15596001123ebee1c23cdebbecd47e4144f6224725b0e098b1bb52ab3482f7	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/features/integrations/types.ts	 M	c86ac51e22a1f200e721e0b464a10b3912a69487	7da3ce0e7859e798d1be9983f6be8e7c831400ca0a3f15dd11c1e8f17af310a1	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/main.tsx	  	693ac2e709e33f704d5a6416ff5fe19ffd5ef977	9f14840785035a7ad44d93177890861739412b4e21fe2778b5efa66a6eb24f67	drop	legacy product, graphical client, release surface, plan, or documentation
apps/desktop/src/styles.css	  	3f86ea0046e1c92e1ed7b3e897bf953a45a4df21	bec9300d6289eaf81dd1c9e18c3012b074d7791d43ca06466bff919fba6049cb	drop	legacy product, graphical client, release surface, plan, or documentation
